num_C,num_F,num_O,num_P,num_S,num_B,HOMO,LUMO,min_ESP,max_ESP,MPI,R,La,Lb,Lc,MW,TPSA,C,HBA,Binding energy
5,0,1,0,0,0,0.01195,0.17782,-149.409373,-67.562367,4.16537892,3.28164,7.997,6.337,5.817,87.14,23.1,39.2,1,0
4,0,4,0,0,0,-0.09036,0.08235,-128.038407,-18.960437,4.09238985,3.55388,8.448,5.543,5.317,113.05,77.4,173,4,1
4,0,4,0,0,0,-0.09936,0.10757,-124.754898,-41.571703,3.90644134,3.48746,8.088,8.201,5.143,162.15,87.2,294,5,1
3,0,3,0,1,0,-0.06137,0.1048,-137.855107,-41.747789,4.13620187,3.60308,8.471,5.988,4.153,119.12,58.2,92.8,4,1
4,0,3,0,0,0,-0.05523,0.16468,-140.733457,-53.823365,4.19315499,3.40382,8.047,5.887,5.338,103.1,60.4,63.8,3,1
4,0,3,0,1,0,-0.07733,0.1275,-131.193857,-50.301507,4.00898115,3.5137,8.275,6.451,5.621,135.16,65.6,159,3,1
2,0,4,0,1,0,-0.07313,0.13171,-132.710499,-19.883813,4.25975841,3.50058,8.305,4.731,5.533,125.13,85.8,104,4,1
6,0,3,0,0,0,-0.05224,0.07584,-139.694885,-49.849279,3.98743946,3.61046,7.439,8.689,3.04,138.1,68.9,131,3,1
5,0,0,0,2,0,-0.0123,0.13292,-138.212139,-43.343534,3.75434791,3.66048,8.178,6.246,5.195,146.3,36.3,91.1,2,1
2,0,3,0,1,0,-0.08679,0.12874,-126.477149,-60.069196,4.05212542,3.56372,8.581,4.772,5.533,143.57,65.6,107,3,1
8,0,4,0,0,0,-0.11059,0.07269,-120.299308,-39.816048,3.70917461,3.68508,8.192,8.814,2.734,165.12,77.4,194,4,1
4,0,1,0,2,0,-0.02205,0.13357,-132.557325,-45.479037,3.85307671,3.63178,8.719,6.521,6.103,135.2,42.3,64.6,3,1
6,0,5,0,1,0,-0.08088,0.09696,-133.834701,-14.235299,3.73555068,3.60964,8.82,8.098,5.538,189.17,106,228,5,1
4,0,4,0,0,0,-0.09739,0.14815,-124.016851,-45.993384,3.9589992,3.60062,8.694,6.535,5.33,132.09,103,127,5,1
